Designator,Mid X,Mid Y,Rotation,Layer
3V,157.95,-71.9,0.0,top
3V3,164.75,-66.875,0.0,top
B1,132.7,-90.7,180.0,top
C10,155.3,-66.7,90.0,top
C11,161.1625,-66.75,90.0,top
C12,121.1,-65.1,180.0,top
C2,145.1,-63.5,0.0,top
C3,123.0,-71.05,90.0,top
C6,112.4,-64.9,90.0,top
C8,118.95,-44.0,90.0,top
C9,120.6,-44.0,90.0,top
D10,108.5,-68.45,270.0,top
D3,160.8,-62.8,0.0,top
D5,150.225,-71.9,180.0,top
D6,119.7,-48.8,270.0,top
F3,164.3,-71.9,180.0,top
GND,149.0,-67.275,0.0,top
J1,100.895,-64.9,270.0,top
J5,148.2,-50.25,0.0,top
J6,166.0428,-50.2708,0.0,top
L1,152.8,-66.7,90.0,top
LS1,104.4,-49.6,180.0,top
Q11,113.2,-48.2,270.0,top
R1,105.7,-61.25,90.0,top
R14,121.1,-63.5,0.0,top
R15,145.1,-65.1,0.0,top
R16,145.1,-61.9,180.0,top
R17,110.2,-68.45,270.0,top
R18,143.25,-71.0625,270.0,top
R2,105.75,-68.5,90.0,top
R3,113.2,-54.2,180.0,top
R5,160.8,-60.7,0.0,top
R6,113.2,-52.3,180.0,top
R7,152.6,-61.7,90.0,top
R9,119.7,-52.7,90.0,top
S1,133.2,-71.2625,0.0,top
SW1,128.175,-65.1,180.0,top
SW2,138.125,-65.1,0.0,top
U1,133.1452,-48.8704,0.0,top
U2,109.2,-64.9,180.0,top
U3,156.2,-61.7,180.0,top
U4,158.4,-66.7,0.0,top
